Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat,Prix_connu
1952,Tracteur Volvo FMX 420,216008.0,2018-11-13,Gazoil,Volvo,480 T4X2 E6,FRANCE,,MARTIN SEB CASSE PL SAS,CharenteMaritime,8.33,7.5,4x2,480.0,Occasion - Accidenté,False
DJ725XS,Tracteur Ford F MAX 500,246177.0,2022-10-26,Gazoil,Ford,480 T4X2 E6,FRANCE,,DPL 21,Côted'Or,8.17,44.25,4x2,480.0,Occasion - Accidenté,False
CA621PD,Tracteur DAF XG 530FT,389025.0,2022-10-25,Gazoil,DAF,18.520,FRANCE,,DPL 21,Côted'Or,8.52,19.0,4x2,520.0,Occasion - Accidenté,False
ER898YK,Tracteur Renault Gamme T,363500.0,2022-03-09,Gazoil,Renault,480,FRANCE,,DPL 21,Côted'Or,8.3,19.0,4x2,500.0,Occasion - Accidenté,False
DZ590JX,Tracteur DAF 480 XF,15.0,2021-12-06,Gazoil,DAF,480,FRANCE,,DPL 21,Côted'Or,8.02,26.15,4x2,500.0,Occasion - Accidenté,False
BC565EA,Tracteur Ford F MAX 500,118196.0,2024-02-05,Gazoil,Ford,440 T4X2 E6,FRANCE,,BOURGOGNE TRUCKS,Côted'Or,8.74,19.0,4x2,480.0,Occasion,False
EQ776TD,Tracteur MAN TGX 18.480 XLX,532000.0,2014-06-12,Gazoil,MAN,500 Globetrotter XL,FRANCE,,BKR SERVICE,Paris,8.8,18.0,4x2,470.0,Occasion,False
FN464WY,Tracteur Scania R 730,1089424.0,2011-08-23,Gazoil,Scania,480 T4X2 E6,FRANCE,,RFCN,Marne,8.37,19.0,4x2,430.0,Occasion,False
GB386XD,Tracteur Renault,470000.0,2015-05-26,GPL,Renault,480 T4X2 E6,FRANCE,,IMPORT EXPORT DHIMITRI,ValdeMarne,8.3,19.0,4x2,420.0,Occasion,False
EL534BD,Tracteur MAN TGX 18.460,448816.0,2018-12-13,Gazoil,MAN,780,FRANCE,,ABLIS POIDS LOURDS,Yvelines,8.31,32.0,4x2,460.0,Occasion,False
DJ059YZ,Tracteur Scania R 620,364074.0,2008-06-06,Gazoil,Scania,18.520,FRANCE,,PFT SARL,Aube,8.74,19.0,4x2,460.0,Occasion,False
515,Tracteur Renault T-Series,1058706.0,2018-10-17,Gazoil,Renault,480 T4X2 E6,FRANCE,,Renault Trucks Cavaillon,Vaucluse,7.49,19.0,4x2,480.0,Occasion,False
1697460,Tracteur DAF XF 510,620000.0,2017-03-13,Gazoil,DAF,780,FRANCE,,AUTO EXPORT IVANOV,BouchesduRhône,16.02,19.0,4x2,560.0,Occasion,False
1531067,Tracteur DAF XF 530,652133.0,2019-06-04,Gazoil,DAF,500,FRANCE,,GARAGE TONON,Moselle,8.15,19.0,4x2,540.0,Occasion,False
1696165,Ensemble routier savoyarde système bâchage coulissant Mercedes Actros 1846,370000.0,2017-01-01,Gazoil,Mercedes,480 T4X2 E6,FRANCE,,Ousidi Wassim,HauteGaronne,8.84,19.0,4x2,460.0,Occasion,False
1675556,Tracteur DAF XF 480,1036027.0,2020-11-23,Gazoil,DAF,500,FRANCE,,GSVI LYON,Rhône,8.55,18.0,4x2,520.0,Occasion,False
7627,Tracteur MAN TGS 18.470,320000.0,2019-11-22,Gazoil,MAN,480,FRANCE,,PACIFIC TRUCKS,Rhône,8.53,19.0,4x2,500.0,Occasion,False
VO25-1990,Ensemble routier benne Renault C-Series 520,865550.0,2019-03-27,Gazoil,Renault,430 DXI,FRANCE,,Adamo,Savoie,7.74,19.0,4x2,450.0,Occasion,False
VO26-2057,Tracteur Volvo FH 460 Globetrotter,404263.0,2022-09-27,Gazoil,Volvo,500,FRANCE,,VOLVO TRUCK CENTER RHONE ALPES H,Rhône,7.53,19.0,4x2,450.0,Occasion,False
VO26-2074,Ensemble routier béton MAN TGS Mobil Chape,315531.0,2017-06-13,Gazoil,MAN,480,FRANCE,,Iseresols,Isère,7.25,19.12,4x2,520.0,Occasion,False
3563 LG,Tracteur Iveco Stralis AS 440 S 50 TP,388000.0,2016-06-21,Gazoil,Iveco,500 Globetrotter XL,FRANCE,,SELVI-LORIN,Loiret,5.22,19.0,4x2,490.0,Occasion,False
FC3170,Tracteur Volvo FH12 380,599000.0,1997-01-02,Gazoil,Volvo,450 FT,FRANCE,,FARES TRUCKS,Loiret,9.63,19.0,4x2,510.0,Occasion,False
DV STG1,Tracteur Renault T-Series 480.19 DTI 13,369959.0,2019-03-11,Gazoil,Renault,500,FRANCE,,CIAPE,Rhône,12.26,19.0,4x2,410.0,Occasion,False
CB965JB,Tracteur convoi exceptionnel Scania R 500,337715.0,2019-05-15,Gazoil,Scania,460,FRANCE,,Fournier,DeuxSèvres,7083.0,18.0,6x4,480.0,Occasion,False
5590,Tracteur Volvo FH 500,175943.0,2022-10-13,Gazoil,Volvo,430,FRANCE,,trs thivier,Manche,8.25,38.0,4x2,630.0,Occasion,False
CW330NN,Tracteur Renault Kerax 410 DXI,375339.0,2011-11-01,Gazoil,Renault,510,FRANCE,,SODEXIM,Nord,8.2,19.0,4x2,500.0,Occasion,False
FE889JJ,Tracteur Renault Kerax 410 DXI,484079.0,2007-07-01,Gazoil,Renault,2658 LS,FRANCE,,SODEXIM,Nord,9.9,19.0,4x2,480.0,Occasion,False
BC145MP,Tracteur Renault T-High T4X2 480 TC,332369.0,2023-03-09,Gazoil,Renault,18.520,FRANCE,,LOIRET TRUCKS ETS DOURS,Loiret,10.03,18.0,4x2,480.0,Occasion,False
FC596VW,Tracteur Volvo FH 540,350696.0,2020-11-02,Gazoil,Volvo,1843 LS,FRANCE,,ADM NEGOCE,Meuse,8.68,19.0,4x2,460.0,Occasion,False
IVECO X-WAY 570 6x4 + Semi-remorque forestière DOLL LOGO 21 / Grue PALFINGER Epsilon L270,Tracteur DAF 480 XF FT 4X2,526000.0,2021-11-09,Gazoil,DAF,480,FRANCE,,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.62,18.0,4x2,480.0,Occasion,False
SCANIA V8 R590 A4X2NB,Tracteur Iveco S-WAY 460 GNL,570000.0,2021-06-07,Gazoil,Iveco,1842 LS,FRANCE,,IVECO Périgueux - Groupe PAROT,Dordogne,10.1,18.0,4x2,530.0,Occasion,False
RENAULT T520 KIT HDYRAULIQUE  SEMI-REMORQUE PLATEAU FORESTIER GURLESENYIL TREYLER,Tracteur Renault T-Series 520.19 DTI 13,194435.0,2014-09-16,Gazoil,Renault,18.560,FRANCE,,GSD CONSULT,Jura,8.41,44.0,4x2,420.0,Occasion,False
SCANIA S500 A4X2LB,Tracteur Mercedes Actros 1845 LS,202477.0,2025-07-04,Gazoil,Mercedes,480,FRANCE,,BPM PRO MERCEDES CAMIONS Vigneux,LoireAtlantique,8.3,19.0,4x2,380.0,Occasion,False
V7287,Tracteur Volvo FH 420 GLOBE XL,309535.0,2024-01-09,Gazoil,Volvo,480,FRANCE,,VOLVO TRUCK CENTER LANGUEDOC,HauteGaronne,6.96,44.0,4x2,530.0,Occasion,False
216,Tracteur Volvo FH13 420,539354.0,2024-01-09,Gazoil,Volvo,480,FRANCE,,VOLVO TRUCK CENTER LANGUEDOC,HauteGaronne,7.37,19.0,4x2,480.0,Occasion,False
GB-780,Tracteur Renault T-Series,606707.0,2021-11-18,Gazoil,Renault,480,FRANCE,,FAURIE USED TRUCKS,Corrèze,9.87,19.0,4x2,520.0,Occasion,False
FG 524 RK,Tracteur Iveco Hi-Way AS 460CV GNC,240138.0,2020-02-03,Gazoil,Iveco,420,FRANCE,,IVECO Toulouse - Groupe PAROT,HauteGaronne,7.5,19.0,4x2,750.0,Occasion,False
7058405,Tracteur DAF,253302.0,2020-05-14,Gazoil,DAF,500,FRANCE,,BERROYER,Vendée,6.94,44.0,4x2,440.0,Occasion,False
vs_20240829.03,Tracteur Renault T-Series 480,292777.0,2023-07-21,Gazoil,Renault,1845,FRANCE,,C.E.A.P.L,HauteVienne,8.18,44.0,4x2,450.0,Occasion - Accidenté,False
vs_20250228.04,Tracteur DAF XF105 510,215287.0,2017-06-19,Gazoil,DAF,1851 LS,FRANCE,,BADA VI,Rhône,8.01,18.0,4x2,520.0,Occasion,False
vs_20240909.05,Tracteur Renault C-Series 440,227139.0,2017-03-01,Gazoil,Renault,THIGH 480,FRANCE,,SODEXIM,Nord,7.7,19.0,4x2,460.0,Occasion,False
gg-578,Tracteur DAF XF105 FT 460,357398.0,2015-11-18,Gazoil,DAF,530 FT,FRANCE,,TRANSPORTS CORDIER,Doubs,8.7,18.0,4x2,520.0,Occasion,False
FC3010,Tracteur DAF XF XF,436843.0,2023-01-01,Gazoil,DAF,480 FT,FRANCE,,RITCHIE BROS AUCTION FRANCE SAS,Eure,8.71,34.6,6x4,551.0,Occasion,False
GB973NG,Tracteur Mercedes Actros 2041 ST,626708.0,2008-01-01,Gazoil,Mercedes,1845 LS,FRANCE,,RITCHIE BROS AUCTION FRANCE SAS,Eure,8.54,44.0,4x2,440.0,Occasion,False
BJ322BV,Tracteur Ford F MAX F-MAX 500,800000.0,2023-01-01,Gazoil,Ford,AS 440 S 46,FRANCE,,RITCHIE BROS AUCTION FRANCE SAS,Eure,6.74,19.0,4x4,479.0,Occasion,False
EA048PR,Tracteur Ford F MAX F-MAX 500,296145.0,2023-01-01,Gazoil,Ford,510 FT,FRANCE,,RITCHIE BROS AUCTION FRANCE SAS,Eure,11.05,19.0,4x2,530.0,Occasion,False
AW946PJ,Tracteur Volvo FM 450,225000.0,2017-01-01,Gazoil,Volvo,480 FT,FRANCE,,RITCHIE BROS AUCTION FRANCE SAS,Eure,6.73,44.0,4x2,460.0,Occasion,False
LOCATION,Tracteur Mercedes ACTROS 1853 BLUETEC 6,245913.0,2018-01-01,Gazoil,Mercedes,480 FT,FRANCE,,RITCHIE BROS AUCTION FRANCE SAS,Eure,8.18,19.0,4x2,460.0,Occasion,False
V7367,Tracteur Renault C-Series C460 DTI 11,860000.0,2020-01-01,Gazoil,Renault,480,FRANCE,,RITCHIE BROS AUCTION FRANCE SAS,Eure,8.51,19.0,4x2,450.0,Occasion,False
412965 - 535,Tracteur Mercedes Arocs Arocs 2053,357487.0,2022-01-01,Gazoil,Mercedes,460,FRANCE,,RITCHIE BROS AUCTION FRANCE SAS,Eure,10.66,19.0,4x2,500.0,Occasion,False
FV512,Tracteur Mercedes Arocs 2053,445479.0,2022-01-01,Gazoil,Mercedes,480,FRANCE,,RITCHIE BROS AUCTION FRANCE SAS,Eure,8.58,19.0,4x2,480.0,Occasion,False
CN805HX,Tracteur Volvo FH12 420,259613.0,2005-01-15,Gazoil,Volvo,420,FRANCE,,MTI manutention,Yvelines,12.01,44.0,4x2,420.0,Occasion,False
ER004JF,Tracteur Iveco neuf S-WAY 460,372624.0,2023-07-26,Gazoil,Iveco,450,FRANCE,,GLOBAL TRUCKS,Yvelines,8.03,19.2,4x2,479.0,Neuf,False
EE858RQ,Ensemble routier benne standard Volvo F6 460 + SCHMITZ CARGOBULL SKI24 (LOCATION / RENT) FH,667949.0,2019-04-02,Gazoil,Volvo,18.440 XXL,FRANCE,,SYLTRAILER,PyrénéesOrientales,7.09,19.0,4x2,530.0,Occasion,False
CG040NZ,Tracteur Volvo FH VOLVO 500 TC,246174.0,2023-01-17,Gazoil,Volvo,510,FRANCE,,VOLVO TRUCK CENTER NORD PICARDIE R,PasdeCalais,6.73,38.0,4x2,460.0,Occasion,False
71845,Ensemble routier benne TP Mercedes Actros 1845,557440.0,2020-09-24,Gazoil,Mercedes,460,FRANCE,,ALTIFRANCE EVENEMENTS,Essonne,8.36,19.0,4x2,530.0,Occasion,False
71847,Tracteur Volvo FH 500 Globetrotter,560620.0,2024-02-01,Gazoil,Volvo,18.500,FRANCE,,VOLVO TRUCK CENTER RHONE ALPES H,Rhône,3.79,90.0,4x2,580.0,Occasion,False
V6435,Tracteur Renault T-Series 480 T4X2 E6,472970.0,2020-09-01,Gazoil,Renault,1848 LS,FRANCE,,RENAULT TRUCKS GRAND LYON CORBAS,Rhône,7.86,19.0,6x4,450.0,Occasion,False
CV939JJ,Tracteur Renault T-Series 480.19 DTI 13,450000.0,2022-05-20,Gazoil,Renault,18.440,FRANCE,,RENAULT TRUCKS GRAND LYON CORBAS,Rhône,10.2,19.0,4x2,450.0,Occasion,False
DC245QX,Tracteur Renault T-Series 480,577183.0,2022-09-12,Gazoil,Renault,580,FRANCE,,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,8.07,19.0,4x2,440.0,Occasion,False
CS007WC,Tracteur Renault T-Series 480,383949.0,2022-08-30,Gazoil,Renault,510,FRANCE,,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,8.16,19.0,4x2,430.0,Occasion,False
DT772LP,Tracteur MAN TGX 18.470 4x2 | Leasing from €1996/month,380000.0,2020-01-22,Gazoil,MAN,18.510,FRANCE,,SPARDEX,Nord,8.98,19.05,4x2,510.0,Occasion,False
RENAULT T480 COMFORT Kit Hydraulique,Tracteur Iveco X-WAY 480,398000.0,2019-06-26,Gazoil,Iveco,560,FRANCE,,DPL 21,Côted'Or,8.75,19.0,4x4,480.0,Occasion - Accidenté,False
FV934NC,Tracteur Renault T-High 520 T4X2 E6,375000.0,2021-05-20,Gazoil,Renault,1848,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.35,19.0,6x4,480.0,Occasion,False
SCANIA G490 CA4X2MSA KIT HYDRAULIQUE,Tracteur Renault T-Series 480,302000.0,2021-03-17,Gazoil,Renault,460,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.18,19.0,4x2,490.0,Occasion,False
E65426,Tracteur Renault T-Series 480,36944.0,2019-04-11,Gazoil,Renault,460,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,7.6,19.0,4x2,500.0,Occasion,False
1698089,Tracteur Renault T-Series 480 T4X2 E6,698625.0,2019-10-09,Gazoil,Renault,460,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,7.48,19.0,4x2,500.0,Occasion,False
1725406,Tracteur Renault T-Series 520,173400.0,2021-06-21,Gazoil,Renault,490,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,9.08,18.0,4x2,510.0,Occasion,False
1725402,Tracteur Renault T-Series 480 T4X2 E6,695349.0,2021-09-14,Gazoil,Renault,460,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,9.31,19.0,4x2,500.0,Occasion,False
FC2133,Tracteur Renault T-High 520 T4X2 E6,961251.0,2021-05-06,Gazoil,Renault,1846 LS,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,9.59,44.15,4x2,510.0,Occasion,False
FC3009,Tracteur Renault T-Series 480,562701.0,2022-09-30,Gazoil,Renault,490,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.11,44.0,4x2,450.0,Occasion,False
S27V546730I241291,Tracteur Renault T-Series 480 T4X2 E6,259798.0,2020-05-12,Gazoil,Renault,480,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.42,19.0,6x4,480.0,Occasion,False
1727364,Tracteur Renault T-Series 480,1001048.0,2019-12-12,Gazoil,Renault,18.520,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.31,19.0,4x2,490.0,Occasion,False
MAN tracteur TGX 18.470,Tracteur Renault T-Series 480,796026.0,2019-10-10,Gazoil,Renault,500 Globetrotter XL,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,7.61,19.0,4x2,490.0,Occasion,False
FC3053,Tracteur Renault T-Series 480,555000.0,2020-12-01,Gazoil,Renault,520 T4X2 E6,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,7.91,19.0,4x2,33.0,Occasion,False
FC3102,Tracteur Renault T-Series 480,1022000.0,2020-03-02,Gazoil,Renault,500 Globetrotter,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,9.08,19.5,4x2,500.0,Occasion,False
FC2760,Tracteur Renault T-Series 520,1200000.0,2021-09-21,Gazoil,Renault,520 T4X2 E6,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,7.3,19.0,4x2,500.0,Occasion,False
EL490JT,Tracteur Renault T-Series 520 T4X2 E6,672000.0,2020-06-17,Gazoil,Renault,510,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.19,26.0,4x2,460.0,Occasion,False
DC 211 ZP,Tracteur produits dangereux / adr Renault T-Series 480,790000.0,2019-04-05,Gazoil,Renault,510,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,7.11,26.0,4x2,450.0,Occasion,False
363493,Tracteur Renault T-Series 480 T4X2 E6,1241000.0,2019-01-04,Gazoil,Renault,510,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.47,19.0,4x2,460.0,Occasion,False
538569,Tracteur Renault T-Series 480,945000.0,2021-08-02,Gazoil,Renault,1851 LS,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.05,19.0,4x2,460.0,Occasion,False
IVECO S-WAY 570 6x2 monte jumelée,Tracteur Renault T-Series 480,729000.0,2019-02-01,Essence,Renault,480,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.0,19.0,4x2,510.0,Occasion,False
727N,Tracteur Renault T-Series 480 T4X2 E6,537000.0,2021-06-07,Gazoil,Renault,460 eev,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,7.37,19.0,4x2,380.0,Occasion,False
230291,Tracteur Renault T-Series 520 T4X2 E6,548706.0,2022-12-06,Gazoil,Renault,28.440,FRANCE,,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,7.61,19.0,4x2,480.0,Occasion,False
ED496ZS,Tracteur Volvo FH volvo,865848.0,2024-01-19,Gazoil,Volvo,480 T4X2 E6,FRANCE,,VOLVO TRUCK CENTER NORD PICARDIE R,PasdeCalais,5.7,19.0,4x2,420.0,Occasion,False
FA568,Tracteur Volvo FH 500,850000.0,2025-04-23,Gazoil,Volvo,460,FRANCE,,EURO EST SERVICES PLUS SARL,BasRhin,9.03,19.0,4x2,490.0,Occasion,False
d26-999,Tracteur surbaissé Mercedes Sprinter,576000.0,2020-08-06,Gazoil,Mercedes,1851 LS,FRANCE,,Cotiere auto,Ain,8.66,18.0,4x2,490.0,Occasion,False
240155,Tracteur produits dangereux / adr Renault neuf K-Series 420,875000.0,2025-06-01,Gazoil,Renault,1845 LS,FRANCE,,SODEXIM,Nord,10.1,19.0,4x4,660.0,Neuf,False
276,Tracteur Renault T-Series,740068.0,2018-08-01,Gazoil,Renault,480 FT,FRANCE,,RENAULT TRUCKS VITROLLES,BouchesduRhône,7.42,26.0,4x2,34.0,Occasion,False
DR141TT,Tracteur Mercedes Actros 1845LS Tracteur,93000.0,2013-10-22,Gazoil,Mercedes,1843 LS,FRANCE,,Garage POULALION,SeineetMarne,12.0,19.0,4x2,460.0,Occasion,False
DQ889WL,Tracteur Renault T 460 Hydraulique,253440.0,2015-02-10,Gazoil,Renault,480,FRANCE,,Garage POULALION,SeineetMarne,7.8,19.0,4x2,490.0,Occasion,False
EV960MP,Tracteur Volvo FH 460,261465.0,2018-02-04,Gazoil,Volvo,28.510,FRANCE,,DL TRUCKS,PuydeDôme,8.22,21.0,4x2,460.0,Occasion,False
FA406DZ,Tracteur Volvo FH 540,261200.0,2018-06-25,Gazoil,Volvo,28.510,FRANCE,,JAD HOC,,7.01,19.0,4x2,520.0,Occasion,False
CR261HT,Tracteur Renault 460 DXI Gamme T,53200.0,2014-09-08,Gazoil,Renault,18.500,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,8.98,27.0,6x4,450.0,Occasion,False
EZ952QV,Tracteur MAN TGX 18.460,53500.0,2017-04-10,Gazoil,MAN,450,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,8.09,26.0,4x2,460.0,Occasion,False
BV683CT,Tracteur DAF XF105 460,35900.0,2016-02-03,Gazoil,DAF,580,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,8.09,19.12,4x2,500.0,Occasion,False
DY526WG,Tracteur DAF 480 XF,522000.0,2020-02-20,Gazoil,DAF,520,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,6.88,18.0,4x4,34.0,Occasion,False
vs_20240909.08,Tracteur Renault T-Series 480 T-Series,240000.0,2014-09-09,Gazoil,Renault,18.430,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.2,19.0,4x2,580.0,Occasion,False
vs_20240909.07,Tracteur convoi exceptionnel MAN TGA 33.480,250103.0,2005-10-11,Gazoil,MAN,430 DXI,FRANCE,,LM,MaineetLoire,8.58,18.0,4x2,449.0,Occasion,False
vs_20240912.05,Tracteur MAN TGX 18.640,429214.0,2018-01-30,Gazoil,MAN,18.480,FRANCE,,Truck Agence,Côted'Or,7.64,18.0,4x2,500.0,Occasion,False
vs_20241104.07,Tracteur DAF XF,381099.0,2022-04-05,Gazoil,DAF,450,FRANCE,,Truck Agence,Côted'Or,15.6,19.0,4x2,470.0,Occasion,False
GN443,Tracteur Scania R 560,602000.0,2009-05-20,Gazoil,Scania,440E47,FRANCE,,BAB BV,PuydeDôme,8.43,20.5,4x2,500.0,Occasion,False
9111,Tracteur Mercedes Actros 1846 LS,542026.0,2018-03-13,Gazoil,Mercedes,490,FRANCE,,TRANSPORTS ARJOUN,Ardèche,10.42,20.5,4x2,520.0,Occasion,False
GP599,Tracteur DAF 480 CF FT 4X2,3000.0,2019-06-11,Hybride,DAF,460,FRANCE,,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.42,26.5,4x2,440.0,Occasion,False
0873,Tracteur Renault T-Series 520.19 DTI 13,459800.0,2023-10-06,Gazoil,Renault,450,FRANCE,,Groupe Brochard,Cher,7.12,20.5,4x2,490.0,Occasion,False
AB775EZ,Tracteur Volvo FH 500 Globetrotter,384560.0,2022-02-17,Gazoil,Volvo,500 Globetrotter XL,FRANCE,,VOLVO TRUCK CENTER RHONE ALPES H,Rhône,7.28,20.5,4x2,420.0,Occasion,False
9104,Tracteur DAF XF 480 FT,667906.0,2022-07-22,Gazoil,DAF,520,FRANCE,,TURBO TRUCKS LILLE,Nord,0.69,27.0,4x2,483.0,Occasion,False
13579,Tracteur Mercedes Actros ACTROS 1845 BIG SPACE,475433.0,2022-05-18,Gazoil,Mercedes,460,FRANCE,,GORRIAS OCCASION,PasdeCalais,7.44,18.0,4x2,480.0,Occasion,False
EF 235 TX,Tracteur DAF 480 XF,476950.0,2020-01-14,Gazoil,DAF,460,FRANCE,,GARAGE TONON,Moselle,8.5,18.0,4x2,520.0,Occasion,False
EL 057 CD,Tracteur Iveco Stralis 460,895807.0,2018-07-19,Gazoil,Iveco,440,FRANCE,,GARAGE TONON,Moselle,8.6,19.0,4x2,470.0,Occasion,False
GC 717 PF,Tracteur MAN TGX 18.480 XLX,921000.0,2017-02-10,Gazoil,MAN,480,FRANCE,,EASY-TRANS-LAVAURE,Charente,14.2,19.0,4x2,480.0,Occasion,False
FC3115,Tracteur Volvo FH16 660,540000.0,2009-03-30,Gazoil,Volvo,460,FRANCE,,RFCN,Marne,8.08,26.0,4x2,500.0,Occasion,False
FC3073,Tracteur Volvo FH 500,580000.0,2012-11-15,Gazoil,Volvo,530 FT,FRANCE,,RFCN,Marne,7.74,19.0,4x2,460.0,Occasion,False
FA855GG,Tracteur DAF 480 XF FT 4X2,395000.0,2020-10-13,Gazoil,DAF,1853,FRANCE,,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.65,20.5,4x2,480.0,Occasion,False
FK868JB,Tracteur DAF XG 480,207472.0,2023-04-19,Gazoil,DAF,1848,FRANCE,,TURBO TRUCKS LILLE,Nord,7.87,19.0,4x2,460.0,Occasion,False
FA208DZ,Tracteur MAN TGX,88272.0,2016-07-28,Gazoil,MAN,1848,FRANCE,,RFCN,Marne,7.28,19.5,4x2,460.0,Occasion,False
DZ326WA,Tracteur MAN TGS 18.360,770656.0,2014-05-15,Gazoil,MAN,420,FRANCE,,AB MAT,SeineetMarne,8.55,18.0,4x2,460.0,Occasion,False
DK368AC,Tracteur Volvo FM 430,757864.0,2008-12-02,Gazoil,Volvo,460,FRANCE,,CNC,Ain,7.21,19.0,4x2,480.0,Occasion,False
DEPOT CLIENT,Tracteur Mercedes E Actros 1840 VENTE EXPORT,757637.0,2001-12-28,Gazoil,Mercedes,480 T4X2 E6,FRANCE,,SYLTRAILER,PyrénéesOrientales,8.26,19.5,4x2,500.0,Occasion,False
V7349,Tracteur Scania R 540,415000.0,2020-12-15,Gazoil,Scania,AS440S46TP- LNG,FRANCE,,MAC CARGO EXPRESS,BasRhin,7.16,19.5,4x2,459.0,Occasion,False
1715403,Tracteur Scania R 490,494000.0,2016-10-07,Gazoil,Scania,510,FRANCE,,T.L.H.,Manche,8.74,19.5,4x4,480.0,Occasion,False
FC3086,Tracteur Mercedes Actros 1863,670000.0,2021-10-25,Gazoil,Mercedes,460,FRANCE,,LAFONTAINE,HauteSavoie,8.04,19.5,4x2,500.0,Occasion,False
DG196DX,Tracteur MAN TGX 18.500 XLX,452000.0,2019-01-09,Gazoil,MAN,510,FRANCE,,GARAGE COMMANDEUR,Oise,7.38,19.5,6x2,480.0,Occasion,False
DE629CQ,Tracteur MAN TGX 18.480 XLX,601475.0,2016-10-19,Gazoil,MAN,510,FRANCE,,GARAGE COMMANDEUR,Oise,9.08,19.5,6x4,530.0,Occasion,False
T480BLEU,Tracteur MAN TGX 18.510 XLX,1341392.0,2021-09-29,Gazoil,MAN,510,FRANCE,,GARAGE COMMANDEUR,Oise,7.95,19.5,4x2,460.0,Occasion,False
DV874SY,Tracteur MAN TGX 18.520,1180000.0,2025-01-07,Gazoil,MAN,490,FRANCE,,GARAGE COMMANDEUR,Oise,7.89,19.5,4x2,440.0,Occasion,False
409476 - 13,Tracteur Renault C-Series 460.26 DTI 11,704000.0,2015-02-27,Gazoil,Renault,440,FRANCE,,BAB BV,PuydeDôme,8.31,19.5,6x4,450.0,Occasion,False
DW095RY,Tracteur Scania R 620,1070000.0,2013-12-23,Gazoil,Scania,18.480,FRANCE,,BAB BV,PuydeDôme,8.39,19.5,4x2,480.0,Occasion,False
BJ 022 AS,Tracteur DAF XF 480,609000.0,2019-03-29,Gazoil,DAF,540,FRANCE,,BAB BV,PuydeDôme,8.89,19.5,4x2,480.0,Occasion,False
EQ148TE,Médical DAF CF75,794000.0,2004-08-06,Gazoil,DAF,480,BELGIQUE,,Auto Belge  Transit,Région de BruxellesCapitale,9.9,19.5,6x4,500.0,Occasion,False
71579,Tracteur MAN TGX 18.640,560000.0,2021-01-21,Gazoil,MAN,500,FRANCE,,SARL SERRES,Aude,7.25,19.5,4x2,440.0,Occasion,False
71569,Ensemble routier frigo mono température Iveco Stralis NP400,870000.0,2017-06-10,Gazoil,Iveco,480,FRANCE,,LNVA TRUCKS,Loire,8.35,19.5,4x2,460.0,Occasion,False
71560,Tracteur Renault T-Series 460,525000.0,2017-06-10,Gazoil,Renault,480 T4X2 E6,FRANCE,,LNVA TRUCKS,Loire,7.36,19.5,4x2,420.0,Occasion,False
