Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
XLRTEH4300G371388,Tracteur DAF 480 XF SC 4x2 | Leasing from €1513/month,40 000 km,08/12/2021,Gazoil,DAF,460,FRANCE,1513,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10717100_th.jpg,7.43 Tonnes,19 Tonnes,4x2,500,Occasion
XLRTEF5300G427920,Tracteur DAF 480 XF SSC | Leasing from €1602/month,67 000 km,06/02/2020,Gazoil,DAF,480,FRANCE,1602,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10717101_th.jpg,7.31 Tonnes,19 Tonnes,4x2,519,Occasion
XLRTEH4300G384207,Tracteur DAF XF 530 SC 4x2 | Leasing,650 000 km,01/07/2020,Gazoil,DAF,500,FRANCE,1567,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10814606_th.jpg,8.67 Tonnes,18 Tonnes,4x2,520,Occasion
XLRTEH4300G384790,Tracteur MAN TGX 18.500 4x2 | Leasing from €1274/month,879 000 km,23/10/2020,Gazoil,MAN,530,FRANCE,1274,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10987634_th.jpg,7.31 Tonnes,19 Tonnes,4x2,480,Occasion
71226,Tracteur MAN TGX 18.520,592 714 km,--,Gazoil,MAN,450,FRANCE,2500,AUVERGNE DISTRIBUTION, Loire,https://photo.static-viamobilis.com/31/1/11011396-photo-tracteur_th.jpg,7.78 Tonnes,19 Tonnes,4x2,400,Occasion
3750 MG,Tracteur DAF 480 XF SC | Leasing from €1404/month,388 487 km,31/03/2020,Gazoil,DAF,460 GNL,FRANCE,1404,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10435534_th.jpg,10.78 Tonnes,19 Tonnes,4x2,500,Occasion
3807 MG,Tracteur produits dangereux / adr Mercedes Actros 1848 F StreamSpace | Leasing from €2008/month,480 000 km,15/03/2023,Gazoil,Mercedes,460 T4X2 E6,FRANCE,2008,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10717112_th.jpg,7.47 Tonnes,19 Tonnes,4x2,500,Occasion
71596,Tracteur DAF 480 XG | Leasing,762 000 km,30/11/2022,Gazoil,DAF,520.19 DTI 13,FRANCE,1425,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/11016940_th.jpg,7.8 Tonnes,18 Tonnes,4x2,500,Occasion
3946,Tracteur Volvo FH 500 Globetrotter,384 000 km,01/10/2014,Gazoil,Volvo,440 DXI,FRANCE,846,MTI manutention, Yvelines,https://photo.static-viamobilis.com/31/1/9997198-photo-tracteur_th.jpg,7.94 Tonnes,19 Tonnes,4x2,479,Occasion
vs_20240909.03,Tracteur MAN TGX 18.500 4x2 | Leasing from €1603/month,55 679 km,22/12/2020,Gazoil,MAN,500,FRANCE,1603,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10475404_th.jpg,7.83 Tonnes,19 Tonnes,4x2,459,Occasion
vs_20240909.10,Tracteur DAF 480 XF SC 4x2 | Leasing from €1212/ month,398 027 km,18/11/2020,Gazoil,DAF,450 DXI,FRANCE,1212,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10475402_th.jpg,7833 Tonnes,19 Tonnes,4x2,480,Occasion
14651,Tracteur Iveco S-WAY AS440S48T | Leasing from €1892/month,528 061 km,20/01/2020,Gazoil,Iveco,18.510,FRANCE,1892,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10442747_th.jpg,8.68 Tonnes,19 Tonnes,4x2,450,Occasion
FQ696RTM,Tracteur MAN TGS 18.470,265 000 km,02/02/2023,Gazoil,MAN,460.19 DTI 11,FRANCE,1500,NEGOLOC SAS, CharenteMaritime,https://photo.static-viamobilis.com/31/1/11106177-photo-tracteur_th.jpg,8.53 Tonnes,19 Tonnes,4x2,510,Occasion
GS237,Tracteur Renault T-Series 480,552 000 km,04/01/2022,Gazoil,Renault,480 FT,FRANCE,1350,RENAULT TRUCKS GRAND PARIS ARGENTEUIL, Vald'Oise,https://photo.static-viamobilis.com/31/1/11164454-photo-tracteur_th.jpg,8.53 Tonnes,19 Tonnes,4x2,460,Occasion
CC401,Tracteur Renault T-High 520,898 290 km,15/11/2021,Gazoil,Renault,480.19 DTI 13,FRANCE,1400,RENAULT TRUCKS GRAND PARIS ARGENTEUIL, Vald'Oise,https://photo.static-viamobilis.com/31/1/11164471-photo-tracteur_th.jpg,8.55 Tonnes,44 Tonnes,4x2,450,Occasion
EH597,Tracteur Renault T-High 520,965 458 km,04/07/2022,Gazoil,Renault,460,FRANCE,1420,RENAULT TRUCKS GRAND PARIS ARGENTEUIL, Vald'Oise,https://photo.static-viamobilis.com/31/1/11164474-photo-tracteur_th.jpg,9.8 Tonnes,44 Tonnes,6x4,450,Occasion
387541,Tracteur auto-école Renault T-Series 480,525 339 km,22/09/2022,Gazoil,Renault,480.19 DTI 13,FRANCE,1480,RENAULT TRUCKS GRAND PARIS ARGENTEUIL, Vald'Oise,https://photo.static-viamobilis.com/31/1/11164479-photo-tracteur_th.jpg,5.32 Tonnes,19 Tonnes,4x2,430,Occasion
352016,Tracteur Renault T-Series 480,888 769 km,01/02/2022,Gazoil,Renault,18.400,FRANCE,1100,RENAULT TRUCKS GRAND PARIS ARGENTEUIL, Vald'Oise,https://photo.static-viamobilis.com/31/1/11164461-photo-tracteur_th.jpg,7.39 Tonnes,19 Tonnes,4x2,520,Occasion
XLRTEM4300G327798,Tracteur produits dangereux / adr Volvo F6 460 FH,429 139 km,29/03/2019,Gazoil,Volvo,AS440S50T/P,FRANCE,776,GARAGE TONON, Moselle,https://photo.static-viamobilis.com/31/1/11164411_th.jpg,7.55 Tonnes,40 Tonnes,6x4,460,Occasion
1728942,Tracteur Renault T-Series,45 000 km,06/01/2022,Gazoil,Renault,530,FRANCE,2052,FAURIE USED TRUCKS, Corrèze,https://photo.static-viamobilis.com/31/1/11174117_th.jpg,7.99 Tonnes,19 Tonnes,4x2,530,Occasion
1728930,Tracteur produits dangereux / adr Mercedes Actros 1845 | Leasing,776 351 km,23/09/2020,Gazoil,Mercedes,18.510,FRANCE,1133,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10495778_th.jpg,9.01 Tonnes,19 Tonnes,4x2,480,Occasion
E65259,Tracteur DAF 480 XF SC 4x2 | Leasing from €1133/month,517 692 km,01/10/2019,Gazoil,DAF,18.510 XLX,FRANCE,1772,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10717087_th.jpg,8.47 Tonnes,19 Tonnes,4x2,470,Occasion
E65253,Tracteur MAN TGX 18.470 4x2 | Leasing from €1828/month,525 119 km,21/05/2021,Gazoil,MAN,18.500,FRANCE,1304,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10717097_th.jpg,7.82 Tonnes,19.5 Tonnes,4x2,449,Occasion
70,Tracteur DAF 480 XF SSC 2x Tanks | Leasing from €1304/month,894 000 km,11/06/2021,Gazoil,DAF,18.480,FRANCE,1401,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10717102_th.jpg,7.59 Tonnes,18 Tonnes,4x2,480,Occasion
2977,Tracteur DAF XF 530 SSC 2x Tanks | Leasing from €1401/month,498 000 km,10/12/2020,Gazoil,DAF,18.480,FRANCE,1628,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10717105_th.jpg,7.6 Tonnes,19 Tonnes,4x2,480,Occasion
2822,Tracteur MAN TGX 18.500 4x2 | Leasing from €1628/month,862 920 km,10/12/2020,Gazoil,MAN,18.510,FRANCE,1038,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10717107_th.jpg,8.24 Tonnes,19 Tonnes,4x2,460,Occasion
2905,Tracteur DAF 480 XF SSC | Leasing,487 976 km,03/03/2021,Gazoil,DAF,730,FRANCE,1155,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10956190_th.jpg,7.52 Tonnes,44 Tonnes,4x2,540,Occasion
2962,Tracteur DAF 480 XF SSC | Leasing,377 995 km,31/03/2022,Gazoil,DAF,480,FRANCE,828,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/11101935_th.jpg,7.98 Tonnes,18 Tonnes,4x2,530,Occasion
2980,Tracteur DAF XF 480 SSC | Leasing,366 730 km,30/04/2021,Gazoil,DAF,480,FRANCE,1873,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/11101938_th.jpg,7.74 Tonnes,19 Tonnes,4x2,450,Occasion
449882111,Tracteur Mercedes neuf Actros 1845,930 000 km,--,Gazoil,Mercedes,450,FRANCE,1980,SAS RAMBACH, SeineetMarne,https://photo.static-viamobilis.com/31/1/11173949-photo-tracteur_th.jpg,7.5 Tonnes,19 Tonnes,4x2,510,Neuf
