Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat,Prix_connu
TC66797,Tracteur auto-école Renault Premium 460 DXI,615255.0,2012-09-15,Gazoil,Renault,480,FRANCE,,C Ph CONSEIL SARL,Mayenne,10.24,20.5,4x2,480.0,Occasion,False
TC45647,Tracteur Renault T-Series 480,257695.0,2018-01-15,Gazoil,Renault,460 SC,FRANCE,,FCE,BasRhin,8.84,18.0,4x2,500.0,Occasion - Accidenté,False
TC95780,Tracteur produits dangereux / adr Renault Premium 460 EEV,565000.0,2011-11-28,Gazoil,Renault,480,FRANCE,,B.I.B,Rhône,9.2,18.0,4x2,441.0,Occasion,False
XLRTEF5300G411888,Tracteur MAN TGS 18.460 4X2 LX Retarder Alcoa's,370000.0,2019-05-31,Gazoil,MAN,,PAYS-BAS,,BAS WORLD,,,19.0,4x2,459.0,Occasion,False
VMA5278,Tracteur produits dangereux / adr MAN TGX 18.460 4X2 ADR XLX Retarder,560000.0,2017-03-31,Gazoil,MAN,,PAYS-BAS,,BAS WORLD,,,19.0,4x2,489.0,Occasion,False
H290131,Tracteur Mercedes Actros 1851,719068.0,2022-12-21,Gazoil,Mercedes,,ESPAGNE,,CONCESUR MADRID SL - CAMIONES,Madrid,,19.0,4x2,440.0,Occasion,False
70311516,Tracteur DAF XG + 530 4X2 Retarder 2xTanks Standklima,403846.0,2023-05-24,Gazoil,DAF,,ALLEMAGNE,,BAS WORLD DORTMUND,NordrheinWestfalen,,19.0,4x2,440.0,Occasion,False
70314013,Tracteur DAF XG 530 4X2 Retarder 2xTanks,438687.0,2022-09-26,Gazoil,DAF,,ALLEMAGNE,,BAS WORLD DORTMUND,NordrheinWestfalen,,18.0,4x2,479.0,Occasion,False
XLRTEH4300G413410,"Tracteur MAN TGS 18 460 EURO 6, Retarder, PTO",354721.0,2018-08-27,Gazoil,MAN,,PAYS-BAS,,JB TRADING,Gelderland,,,4x2,500.0,Occasion,False
,Tracteur Scania R 580 etarder,,2016-03-08,,Scania,,BELGIQUE,,SMEETS & ZONEN NV,Limburg,,,,,Occasion,False
