Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
3946,Tracteur Volvo FH 500 Globetrotter,384000.0,2014-10-01,Gazoil,Volvo,440 DXI,FRANCE,846,MTI manutention,Yvelines,7.94,19.0,4x2,479.0,Occasion
vs_20240909.03,Tracteur MAN TGX 18.500 4x2 | Leasing from €1603/month,55679.0,2020-12-22,Gazoil,MAN,500,FRANCE,1603,SPARDEX,Nord,7.83,19.0,4x2,459.0,Occasion
vs_20240909.10,Tracteur DAF 480 XF SC 4x2 | Leasing from €1212/ month,398027.0,2020-11-18,Gazoil,DAF,450 DXI,FRANCE,1212,SPARDEX,Nord,7833.0,19.0,4x2,480.0,Occasion
14651,Tracteur Iveco S-WAY AS440S48T | Leasing from €1892/month,528061.0,2020-01-20,Gazoil,Iveco,18.510,FRANCE,1892,SPARDEX,Nord,8.68,19.0,4x2,450.0,Occasion
FQ696RTM,Tracteur MAN TGS 18.470,265000.0,2023-02-02,Gazoil,MAN,460.19 DTI 11,FRANCE,1500,NEGOLOC SAS,CharenteMaritime,8.53,19.0,4x2,510.0,Occasion
GS237,Tracteur Renault T-Series 480,552000.0,2022-01-04,Gazoil,Renault,480 FT,FRANCE,1350,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.53,19.0,4x2,460.0,Occasion
CC401,Tracteur Renault T-High 520,898290.0,2021-11-15,Gazoil,Renault,480.19 DTI 13,FRANCE,1400,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,8.55,44.0,4x2,450.0,Occasion
EH597,Tracteur Renault T-High 520,965458.0,2022-07-04,Gazoil,Renault,460,FRANCE,1420,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,9.8,44.0,6x4,450.0,Occasion
387541,Tracteur auto-école Renault T-Series 480,525339.0,2022-09-22,Gazoil,Renault,480.19 DTI 13,FRANCE,1480,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,5.32,19.0,4x2,430.0,Occasion
352016,Tracteur Renault T-Series 480,888769.0,2022-02-01,Gazoil,Renault,18.400,FRANCE,1100,RENAULT TRUCKS GRAND PARIS ARGENTEUIL,Vald'Oise,7.39,19.0,4x2,520.0,Occasion
XLRTEM4300G327798,Tracteur produits dangereux / adr Volvo F6 460 FH,429139.0,2019-03-29,Gazoil,Volvo,AS440S50T/P,FRANCE,776,GARAGE TONON,Moselle,7.55,40.0,6x4,460.0,Occasion
