Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
85175,Tracteur MAN TGX TGX 18.460 4X2 BLS XXL Weiss,175300.0,2018-08-01,Gazoil,MAN,,AUTRICHE,1438,Hirschmugl GmbH. & CoKG,Steiermark,,19.5,4x2,482.0,Occasion
70295886,Tracteur MAN TGS 18.320 EU6 Retarder ACC,437942.0,2015-02-01,Gazoil,MAN,,ALLEMAGNE,1196,VTS Trucks GmbH,NordrheinWestfalen,,18.0,4x2,470.0,Occasion
70291298,Tracteur MAN TGM 12.290 4x2 City-SZM Euro6c,600600.0,2019-03-01,Gazoil,MAN,,ALLEMAGNE,1098,VTS Trucks GmbH,NordrheinWestfalen,,19.0,4x2,470.0,Occasion
2419,Tracteur DAF XF 450 FT 4X2,347834.0,2021-03-14,Gazoil,DAF,,BELGIQUE,1610,DAF Used Trucks Belgium,OostVlaanderen,,18.0,4x2,459.0,Occasion
H290192,Tracteur DAF XF105 FT,587982.0,2008-01-01,Gazoil,DAF,,LITUANIE,1900,Auction Baltic UAB,Littuanie,,19.0,4x2,479.0,Occasion
PT48644,Tracteur DAF 480 XF FT 4X2,526695.0,2023-01-03,Gazoil,DAF,,ESPAGNE,1750,DAF Vehiculos Industriales S.A.,Madrid,,,4x2,460.0,Occasion
NE49745,Tracteur DAF 480 XF FT 4X2,477677.0,2021-11-29,Gazoil,DAF,,ESPAGNE,1150,DAF Vehiculos Industriales S.A.,Madrid,,,6x2,460.0,Occasion
XW49750,Tracteur DAF 480 XF FT 4X2,790000.0,2021-11-29,Gazoil,DAF,,ESPAGNE,1099,DAF Vehiculos Industriales S.A.,Madrid,,,4x2,480.0,Occasion
EV48120,Tracteur Mercedes Actros 1840 LSnRL Retarder Hubsattelplatte Xenon,822000.0,2021-03-01,Gazoil,Mercedes,,ALLEMAGNE,1099,Stefan Ebert GmbH,Hessen,,,6x4,480.0,Occasion
47BDP3,Tracteur DAF CF 450 FTP SPACE CAB 6X2 ONLY 447.500 KM 2x TANKS TOP CONDITION BELGIUM TRUCK,1237483.0,2018-11-19,Gazoil,DAF,,PAYS-BAS,1099,SEMTRADE BV,ZuidHolland,,,4x2,399.0,Occasion
5012BFL,Tracteur Scania L R490 TOPINE EURO 6 RETARDER SUPER CONDITION,650913.0,2015-03-05,Gazoil,Scania,,PAYS-BAS,1099,SEMTRADE BV,ZuidHolland,,,4x2,479.0,Occasion
SN 59500142,Tracteur Renault Magnum 480 DXI,466805.0,2013-12-27,Gazoil,Renault,,ESPAGNE,1150,Veinluc sa - LUCENA,Córdoba,,,4x2,400.0,Occasion
RHT-VO816073,Tracteur MAN TGX 18.440 LLS-U | XLX*Retarder*Navi*1.Hand!*AC,653120.0,2015-07-01,Gazoil,MAN,,ALLEMAGNE,1237,Eschen Nutzfahrzeuge GmbH,Niedersachsen,,,4x2,479.0,Occasion
,Tracteur Mercedes E Actros 1851 Euro 5 spoilers,,2013-12-16,,Mercedes,,BELGIQUE,1900,SMEETS & ZONEN NV,Limburg,,,,,Occasion
