Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
XLRTEH4300G339442,Tracteur DAF 480 XF FT 4X2,643499.0,2020-08-05,Gazoil,DAF,440,FRANCE,28800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.37,19.0,4x2,530.0,Occasion
XLRTEF5300G395395,Tracteur DAF 480 XF FT 4X2,379821.0,2021-02-04,Gazoil,DAF,480,FRANCE,35200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.36,19.0,4x2,482.0,Occasion
XLRTEH4300G391636,Tracteur DAF XF 530 FT 4X2,423548.0,2022-01-17,Gazoil,DAF,480,FRANCE,39000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.2,19.0,4x2,482.0,Occasion
XLRTEF5300G391888,Tracteur DAF 480 XF FT 4X2,346106.0,2021-01-25,Gazoil,DAF,480,FRANCE,35200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.53,26.0,4x2,482.0,Occasion
XLRTEH4300G342781,Tracteur DAF 480 XFn FT 4X2,257327.0,2022-03-16,Gazoil,DAF,18.480,FRANCE,53300.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.32,19.0,4x2,482.0,Occasion
XLRTEF5300G388627,Tracteur DAF XF 530 FT 4X2,289819.0,2022-06-30,Gazoil,DAF,520.19 DTI 13,FRANCE,44400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.4,19.0,4x2,482.0,Occasion
XLRTEH4300G340234,Tracteur DAF XG 530 FT 4X2,370604.0,2022-05-17,Gazoil,DAF,480.19 DTI 13,FRANCE,64200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7500.0,19.0,4x2,530.0,Occasion
XLRTEH4300G364524,Tracteur DAF 480 XF FT 4X2,326768.0,2021-05-02,Gazoil,DAF,18.460,FRANCE,30900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7900.0,19.0,4x2,530.0,Occasion
XLRTEH4300G384995,Tracteur DAF 480 XFn FT 4X2,381658.0,2022-04-27,Gazoil,DAF,460,FRANCE,56400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.13,4x2,482.0,Occasion
XLRTEH4300G254329,Tracteur DAF 480 XF FT 4X2,384080.0,2021-01-19,Gazoil,DAF,1845 LS,FRANCE,35200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,530.0,Occasion
XLRTEH4300G345737,Tracteur DAF 480 XF FT 4X2,312928.0,2021-08-31,Gazoil,DAF,1848 LS,FRANCE,30900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,16.0,4x2,482.0,Occasion
XLRTEH4300G384843,Tracteur DAF 480 XF FT 4X2,247130.0,2021-12-20,Gazoil,DAF,400,FRANCE,32800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.15,4x2,482.0,Occasion
XLRTEH4300G356324,Tracteur DAF XF 530 FT 4X2,511953.0,2019-04-03,Gazoil,DAF,18.400,FRANCE,28000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,18.0,4x2,482.0,Occasion
XLRTEH4300G394588,Tracteur DAF XF 530 FT 4X2,360319.0,2021-03-11,Gazoil,DAF,440,FRANCE,33100.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,482.0,Occasion
XLRTEH4300G401727,Tracteur DAF 480 XF FT 4X2,409663.0,2021-12-17,Gazoil,DAF,460,FRANCE,36200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,482.0,Occasion
XLRTEF5300G396757,Tracteur DAF XF 530 FT 4X2,414619.0,2021-06-01,Gazoil,DAF,1843,FRANCE,37500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,482.0,Occasion
XLRTEH4300G349287,Tracteur DAF 480 XF FT 4X2,361698.0,2022-02-22,Gazoil,DAF,450 High/line,FRANCE,42800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,26.0,4x2,530.0,Occasion
XLRTEF5300G425632,Tracteur DAF 480 XF FT 4X2,331509.0,2022-05-16,Gazoil,DAF,460,FRANCE,45400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,20.0,4x2,482.0,Occasion
XLRTEM4300G354582,Tracteur DAF 480 XFn FT 4X2,223085.0,2022-03-16,Gazoil,DAF,460,FRANCE,54500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,482.0,Occasion
XLRTEH4300G227008,Tracteur DAF 480 XF FT 4X2,357232.0,2021-06-16,Gazoil,DAF,500 Globetrotter,FRANCE,33800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,26.0,4x2,482.0,Occasion
XLRTEH4300G369564,Tracteur DAF 480 XFn FT 4X2,235870.0,2022-09-26,Gazoil,DAF,18.510 XLX,FRANCE,54500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,482.0,Occasion
XLRTEH4300G379359,Tracteur DAF 480 CF FT 4X2,558479.0,2021-05-06,Gazoil,DAF,530,FRANCE,30200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,482.0,Occasion
XLRTEH4300G353503,Tracteur DAF XF 530 FT 4X2,854499.0,2018-11-08,Gazoil,DAF,460 SSC,FRANCE,22500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,530.0,Occasion
XLRTEH4300G375152,Tracteur DAF 480 XF FT 4X2,308337.0,2021-09-23,Gazoil,DAF,460,FRANCE,36000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.0,19.0,4x2,482.0,Occasion
XLRTEM4300G353968,Tracteur DAF 480 XF FT 4X2,334394.0,2021-12-06,Gazoil,DAF,480 T4X2 E6,FRANCE,36500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.99,19.13,4x2,482.0,Occasion
XLRTEF5300G391808,Tracteur DAF 480 XF FT 4X2,201944.0,2021-05-11,Gazoil,DAF,520,FRANCE,31900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.95,19.0,4x2,482.0,Occasion
XLRTEH4300G384346,Tracteur DAF 480 XF FT 4X2,296657.0,2021-10-29,Gazoil,DAF,440.19 DTI 13,FRANCE,32800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.88,16.0,4x2,482.0,Occasion
XLRTEF5300G397349,Tracteur DAF CF 480 FT 4X2,556881.0,2021-05-07,Gazoil,DAF,480 T4X2 E6,FRANCE,34400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.15,4x2,530.0,Occasion
XLRTEH4300G340241,Tracteur DAF XG 530 FT 4X2,369297.0,2022-06-13,Gazoil,DAF,1845 LS,FRANCE,64200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.73,18.0,4x2,482.0,Occasion
XLRTEH4300G389292,Tracteur DAF 480 XF FT 4X2,179798.0,2021-12-17,Gazoil,DAF,460 Globetrotter,FRANCE,37000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.77,19.0,4x2,482.0,Occasion
XLRTEH4300G393361,Tracteur DAF 480 XFn FT 4X2,224564.0,2022-04-21,Gazoil,DAF,460,FRANCE,54500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.42,19.0,4x2,482.0,Occasion
XLRTEH4300G378766,Tracteur DAF 480 XF FT 4X2,395268.0,2021-01-19,Gazoil,DAF,510,FRANCE,35200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.45,19.0,4x2,530.0,Occasion
